,Subject,Age,Gender,Handedness,Shape,Label,Matching,Identity,Morality,Response,Bin,RT_ms,RT_sec,ACC,Country
156,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,766,0.766,1,China
157,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,595,0.595,1,China
158,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,663,0.663,1,China
159,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,735,0.735,1,China
160,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,4,533,0.533,1,China
161,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,n,4,714,0.714,0,China
162,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,4,641,0.641,1,China
163,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,642,0.642,1,China
164,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,676,0.676,1,China
165,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,552,0.552,1,China
166,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,NA,1,1042,1.042,-1,China
167,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,n,1,586,0.586,0,China
168,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,1,745,0.745,1,China
169,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,592,0.592,1,China
170,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,636,0.636,1,China
171,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,n,2,768,0.768,0,China
172,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,760,0.759,1,China
173,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,584,0.584,1,China
174,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,614,0.614,1,China
175,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,4,780,0.78,1,China
176,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,4,655,0.655,1,China
177,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,4,736,0.736,1,China
178,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,601,0.601,1,China
179,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,776,0.776,1,China
180,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,648,0.648,1,China
181,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,1,990,0.99,1,China
182,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,1,784,0.784,1,China
183,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,1,879,0.879,1,China
184,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,m,2,629,0.629,0,China
185,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,2,755,0.755,1,China
186,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,2,600,0.6,1,China
187,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,3,603,0.603,1,China
188,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,3,820,0.82,1,China
189,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,3,856,0.856,1,China
190,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,4,635,0.635,1,China
191,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,4,855,0.855,1,China
192,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,4,674,0.674,1,China
193,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,m,5,655,0.655,0,China
