,Subject,Gender,Age,Matching,Origin_Identity,English_Identity,Identity,Mood,Arouse,Valence,Session,RT_ms,RT_sec,ACC,Country
7328,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,692,0.692,1,China
7329,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,570,0.57,1,China
7330,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,471,0.471,1,China
7331,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,497,0.497,1,China
7332,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,547,0.547,1,China
7333,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,545,0.545,1,China
7334,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,395,0.395,1,China
7335,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,496,0.496,1,China
7336,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,490,0.49,0,China
7337,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,857,0.857,1,China
7338,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,749,0.749,1,China
7339,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,481,0.481,1,China
7340,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,612,0.612,1,China
7341,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,515,0.515,1,China
7342,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,395,0.395,1,China
7343,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,622,0.622,0,China
7344,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,734,0.734,1,China
7345,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,509,0.509,0,China
7346,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,532,0.532,1,China
7347,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,491,0.491,1,China
7348,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,428,0.428,1,China
7349,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,521,0.521,1,China
7350,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,462,0.462,1,China
7351,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,579,0.579,1,China
7352,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,623,0.623,1,China
7353,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,876,0.876,1,China
7354,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,462,0.462,1,China
7355,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,364,0.364,0,China
7356,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,600,0.6,1,China
7357,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,595,0.595,1,China
7358,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,459,0.459,1,China
7359,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,607,0.607,1,China
7360,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,507,0.507,0,China
7361,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,851,0.851,1,China
7362,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,458,0.458,0,China
7363,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,415,0.415,0,China
7364,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,515,0.515,1,China
7365,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,708,0.708,1,China
7366,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,699,0.699,1,China
7367,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,731,0.731,0,China
7368,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,397,0.397,1,China
7369,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,614,0.614,1,China
7370,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,487,0.487,1,China
7371,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,594,0.594,1,China
