,Subject,Label,Matching,Origin_Identity,English_Identity,Identity,RT_ms,RT_sec,ACC,Country
336,1,Self,Nonmatching,Self,Self,Self,590,0.59,1,United Kingdom
337,1,Self,Nonmatching,Self,Self,Self,624,0.624,1,United Kingdom
338,1,Self,Nonmatching,Self,Self,Self,821,0.821,1,United Kingdom
339,1,Self,Nonmatching,Self,Self,Self,940,0.94,1,United Kingdom
340,1,Self,Nonmatching,Self,Self,Self,761,0.761,1,United Kingdom
341,1,Self,Nonmatching,Self,Self,Self,656,0.656,1,United Kingdom
342,1,Self,Nonmatching,Self,Self,Self,674,0.674,1,United Kingdom
343,1,Self,Nonmatching,Self,Self,Self,735,0.735,1,United Kingdom
344,1,Self,Nonmatching,Self,Self,Self,695,0.695,1,United Kingdom
345,1,Self,Nonmatching,Self,Self,Self,671,0.671,1,United Kingdom
346,1,Self,Nonmatching,Self,Self,Self,857,0.857,1,United Kingdom
347,1,Self,Nonmatching,Self,Self,Self,667,0.667,1,United Kingdom
348,1,Self,Nonmatching,Self,Self,Self,673,0.673,1,United Kingdom
349,1,Self,Nonmatching,Self,Self,Self,795,0.795,1,United Kingdom
350,1,Self,Nonmatching,Self,Self,Self,664,0.664,1,United Kingdom
351,1,Self,Nonmatching,Self,Self,Self,840,0.84,1,United Kingdom
352,1,Friend,Nonmatching,Self,Self,Self,603,0.603,1,United Kingdom
353,1,Friend,Nonmatching,Self,Self,Self,631,0.631,1,United Kingdom
354,1,Friend,Nonmatching,Self,Self,Self,806,0.806,0,United Kingdom
355,1,Friend,Nonmatching,Self,Self,Self,267,0.267,1,United Kingdom
356,1,Friend,Nonmatching,Self,Self,Self,847,0.847,1,United Kingdom
357,1,Friend,Nonmatching,Self,Self,Self,640,0.64,1,United Kingdom
358,1,Friend,Nonmatching,Self,Self,Self,597,0.597,1,United Kingdom
359,1,Friend,Nonmatching,Self,Self,Self,646,0.646,1,United Kingdom
360,1,Friend,Nonmatching,Self,Self,Self,761,0.761,1,United Kingdom
361,1,Friend,Nonmatching,Self,Self,Self,757,0.757,1,United Kingdom
362,1,Friend,Nonmatching,Self,Self,Self,641,0.641,1,United Kingdom
363,1,Friend,Nonmatching,Self,Self,Self,774,0.774,1,United Kingdom
